id,chapter,text,main_person,related_persons,strategy_type,strategy_method,event,keywords,summary
S011,第六回,绍大怒，遂写书一封，差心腹人连夜往荆州，送与刺史刘表，教就路上截住夺之。,袁绍,刘表,联盟外交,借刀杀人,袁绍密书刘表截孙坚,密书、刘表、截住、夺玉玺,袁绍因孙坚私藏玉玺离去而大怒，写信给荆州刺史刘表，让刘表在半路上截住孙坚夺取玉玺。这是袁绍借助外部势力对付孙坚的外交策略。
S012,第六回,袁绍见众人各自分散，就领兵拔寨，离洛阳，投关东去了。,袁绍,无,权力控制,撤退,袁绍撤军关东,众人分散、拔寨、投关东,讨董联军内部矛盾激化，孙坚离去，曹操独自追击失败，刘岱杀乔瑁，众人各自分散。袁绍见联军瓦解，便率领自己的军队拔寨离开洛阳，向关东地区撤退。这是袁绍保存实力的战略决策。
S013,第七回,且说袁绍屯兵河内，缺少粮草。冀州牧韩馥，遣人送粮以资军用。谋士逢纪说绍曰：“大丈夫纵横天下，何待人送粮为食！冀州乃钱粮广盛之地，将军何不取之？”绍曰：“未有良策。”纪曰：“可暗使人驰书与公孙瓒，令进兵取冀州，约以夹攻，瓒必兴兵。韩馥无谋之辈，必请将军领州事；就中取事，唾手可得。”绍大喜，即发书到瓒处。,袁绍,逢纪、公孙瓒、韩馥,联盟外交,驱虎吞狼,袁绍采纳逢纪夺冀州之计,逢纪、驱虎吞狼、冀州、公孙瓒,袁绍缺粮，谋士逢纪献计联合公孙瓒夹攻冀州，迫使韩馥请袁绍入主冀州。袁绍采纳并发书给公孙瓒。
S014,第七回,绍却使人密报韩馥。馥慌聚荀谌、辛评二谋士商议。谌曰：“公孙瓒将燕、代之众，长驱而来，其锋不可当。兼有刘备、关、张助之，难以抵敌。今袁本初智勇过人，手下名将极广，将军可请彼同治州事，彼必厚待将军，无患公孙瓒矣。”韩馥即差别驾关纯去请袁绍。,袁绍,韩馥、荀谌,权力控制,威慑,袁绍密报韩馥,密报、威慑、韩馥、请袁绍,袁绍在联合公孙瓒的同时，派人密报韩馥制造恐慌，促使韩馥谋士建议请袁绍同治州事。袁绍以此策不战而迫使韩馥让出冀州。
S015,第七回,数日后，绍引兵至。耿武、关纯拔刀而出，欲刺杀绍。绍将颜良立斩耿武，文丑砍死关纯。绍入冀州，以馥为奋威将军，以田丰、沮授、许攸、逢纪分掌州事，尽夺韩馥之权。,袁绍,颜良、文丑、田丰、沮授、许攸、逢纪、韩馥、耿武、关纯,权力控制,武力镇压、权力重组,袁绍入冀州夺权,刺杀、颜良、文丑、夺权、分掌州事,袁绍引兵至冀州，韩馥部下耿武、关纯伏击刺杀，被颜良、文丑斩杀。袁绍进入冀州，将韩馥架空为奋威将军，任命田丰、沮授、许攸、逢纪分掌州事，尽夺韩馥之权。
S016,第七回,却说公孙瓒知袁绍已据冀州，遣弟公孙越来见绍，欲分其地。绍曰：“可请汝兄自来，吾有商议。”越辞归。行不到五十里，道旁闪出一彪军马，口称：“我乃董丞相家将也！”乱箭射死公孙越。,袁绍,公孙瓒、公孙越,联盟外交,借刀杀人、嫁祸,袁绍诈杀公孙越,公孙越、假称董卓家将、乱箭射死、嫁祸,公孙瓒遣弟公孙越来分地，袁绍假意让他请兄自来，暗中派人假扮董卓家将射死公孙越，嫁祸于董卓，激怒公孙瓒起兵来攻。
S017,第七回,袁绍令颜良、文丑为先锋，各引弓弩手一千，亦分作左右两队；令在左者射公孙瓒右军，在右者射公孙瓒左军。再令麴义引八百弓手，步兵一万五千，列于阵中。袁绍自引马步军数万，于后接应。,袁绍,颜良、文丑、麴义,权力控制,分兵伏击,袁绍部署磐河之战,颜良、文丑、弓弩手、左右两队、麴义、伏兵,磐河之战前，袁绍将部队分为左右两队，各配弓弩手，分别射击公孙瓒的左右军，又令麴义率弓手和步兵列阵，自己率大军在后接应。这是袁绍的军事战术部署。
S018,第七回,正说之间，忽见赵云冲到面前。弓箭手急待射时，云连刺数人，众军皆走。后面瓒军团团围裹上来。田丰慌对绍曰：“主公且于空墙中躲避！”绍以兜鍪扑地，大呼曰：“大丈夫愿临阵斗死，岂可入墙而望活乎！”众军士齐心死战，赵云冲突不入，绍兵大队掩至，颜良亦引军来到，两路并杀。,袁绍,田丰、赵云、颜良,权力控制,激励死战,袁绍临阵激励死战,田丰劝躲、大丈夫愿临阵斗死、齐心死战,界桥之战中，袁绍被赵云突袭陷入重围，田丰劝其躲避，袁绍拒绝并大呼“大丈夫愿临阵斗死”，激励众军死战，最终等来援军击退赵云。
S019,第七回,却说袁绍输了一阵，坚守不出。两军相拒月余，有人来长安报知董卓。李儒对卓曰：“袁绍与公孙瓒，亦当今豪杰。现在磐河厮杀，宜假天子之诏，差人往和解之。二人感德，必顺太师矣。”卓曰：“善。”次日便使太傅马日磾、太仆赵岐，赍诏前去。二人来至河北，绍出迎于百里之外，再拜奉诏。次日，二人至瓒营宣谕，瓒乃遣使致书于绍，互相讲和。,袁绍,李儒、马日磾、赵岐、公孙瓒,联盟外交,讲和,袁绍与公孙瓒讲和,坚守不出、假天子之诏、出迎百里、再拜奉诏、互相讲和,袁绍与公孙瓒相拒月余，董卓派太傅马日磾、太仆赵岐持诏前来和解。袁绍出迎百里，再拜奉诏，最终与公孙瓒互相讲和，各自退兵。
S020,第九回,谋士贾诩曰：“诸君若弃军单行，则一亭长能缚君矣。不若诱集陕人并本部军马，杀入长安与董卓报仇。事济，奉朝廷以正天下；若其不胜，走亦未迟。”,贾诩,李傕、郭汜、张济、樊稠,政治合法性,聚众反攻,贾诩劝李傕等反攻长安,弃军单行、亭长能缚、诱集陕人、杀入长安、奉朝廷以正天下,李傕、郭汜等逃往陕西，上表求赦被王允拒绝，欲各自逃生。贾诩指出若弃军单行则易被擒，建议集结全部兵力反攻长安为董卓报仇。成功则可奉朝廷以正天下，失败再逃不迟。李傕等采纳，最终攻陷长安。
S021,第十回,当下李傕、郭汜、张济、樊稠闻二军将至，一同商议御敌之策。谋士贾诩曰：“二军远来，只宜深沟高垒，坚守以拒之。不过百日，彼兵粮尽，必将自退，然后引兵追之，二将可擒矣。”李蒙、王方出曰：“此非好计。愿借精兵万人，立斩马腾、韩遂之头，献于麾下。”贾诩曰：“今若即战，必当败绩。”李蒙、王方齐声曰：“若吾二人败，情愿斩首；吾若战胜，公亦当输首级与我。”诩谓李傕、郭汜曰：“长安西二百里盩厔山，其路险峻，可使张、樊两将军屯兵于此，坚壁守之；待李蒙、王方自引兵迎敌，可也。”李傕、郭汜从其言，点一万五千人马与李蒙、王方。,贾诩,李傕、郭汜、张济、樊稠、李蒙、王方、马腾、韩遂,权力控制,深沟高垒,贾诩建议坚守不战,深沟高垒、坚守、粮尽自退、引兵追之,马腾、韩遂率军来攻长安，李傕等商议御敌之策。贾诩建议深沟高垒坚守，待敌军粮尽自退后再追击。李蒙、王方主战，贾诩警告战必败。李傕、郭汜采纳贾诩之计，分兵布置。后李蒙、王方果然战败被杀，证明贾诩之谋正确。
S022,第十回,不提防李傕之侄李别，见樊稠放走韩遂，回报其叔。李傕大怒，便欲兴兵讨樊稠。贾翊曰：“目今人心未宁，频动干戈，深为不便；不若设一宴，请张济、樊稠庆功，就席间擒稠斩之，毫不费力。”李傕大喜，便设宴请张济、樊稠。二将忻然赴宴。酒半阑，李傕忽然变色曰：“樊稠何故交通韩遂，欲谋造反？”稠大惊，未及回言；只见刀斧手拥出，早把樊稠斩首于案下。,贾诩,李傕、张济、樊稠、李别,权力控制,鸿门宴,贾诩献计诛樊稠,设宴、庆功、擒斩、樊稠,樊稠追击韩遂时因同乡之情放走韩遂，李傕之侄李别告发。李傕大怒欲兴兵讨伐，贾诩建议设宴请张济、樊稠庆功，在宴席上直接擒杀樊稠，避免动用干戈。李傕采纳，斩杀樊稠。
S023,第十回,李傕、郭汜自战败西凉兵，诸侯莫敢谁何。贾诩屡劝抚安百姓，结纳贤豪。自是朝廷微有生意。,贾诩,李傕、郭汜,权力控制,抚安百姓,贾诩劝抚安百姓,抚安百姓、结纳贤豪,李傕、郭汜击败西凉兵后骄横残虐，贾诩多次劝他们安抚百姓、结交贤才豪杰，以稳定局势。朝廷因此稍有好转。
S024,第十回,操在兖州，招贤纳士。有叔侄二人来投操：乃颍川颍阴人，姓荀，名彧，字文若，荀绲之子也；旧事袁绍，今弃绍投操；操与语大悦，曰：“此吾之子房也！”遂以为行军司马。,荀彧,曹操、袁绍,人才任用,择主而事,荀彧弃袁绍投曹操,弃绍投操、行军司马、吾之子房,曹操在兖州招贤纳士，荀彧原是袁绍部下，因认为袁绍不能成大事，离开袁绍投奔曹操。曹操与他交谈后大喜，称他为“吾之子房”，任命为行军司马。这是荀彧政治生涯的关键选择，为曹操集团带来了重要智囊。
S025,第十回,荀彧曰：“某闻兖州有一贤士，今此人不知何在。”操问是谁，彧曰：“乃东郡东阿人，姓程，名昱，字仲德。”操曰：“吾亦闻名久矣。”遂遣人于乡中寻问。访得他在山中读书，操拜请之。程昱来见，曹操大喜。昱谓荀彧曰：“某孤陋寡闻，不足当公之荐。公之乡人姓郭，名嘉，字奉孝，乃当今贤士，何不罗而致之？”彧猛省曰：“吾几忘却！”遂启操徵聘郭嘉到兖州，共论天下之事。,荀彧,曹操、程昱、郭嘉,人才任用,举荐贤才,荀彧推荐程昱、郭嘉,推荐、程昱、郭嘉、徵聘,荀彧向曹操推荐了程昱，曹操亲自聘请。程昱又推荐郭嘉，荀彧随即建议曹操徵聘郭嘉。荀彧通过举荐贤才，为曹操集团网罗了程昱、郭嘉等顶级谋士。
S026,第十一回,饮宴既毕，谦延玄德于上座，拱手对众曰：“老夫年迈，二子不才，不堪国家重任。刘公乃帝室之青，德广才高，可领徐州。老夫情愿乞闲养病。”玄德曰：“孔文举令备来救徐州，为义也。今无端据而有之，天下将以备为无义人矣。”糜竺曰：“今汉室陵迟，海宇颠覆，树功立业，正在此时。徐州殷富，户口百万，刘使君领此，不可辞也。”玄德曰：“此事决不敢应命。”陈登曰：“陶府君多病，不能视事，明公勿辞。”玄德曰：“袁公路四世三公，海内所归，近在寿春，何不以州让之？”孔融曰：“袁公路冢中枯骨，何足挂齿！今日之事，天与不取，悔不可追。”玄德坚执不肯。陶谦泣下曰：“君若舍我而去，我死不瞑目矣！”云长曰：“既承陶公相让，兄且权领州事。”,关羽,刘备、陶谦、糜竺、陈登、孔融,权力控制,劝领州事,关羽劝刘备暂领徐州,权领州事、陶谦相让,陶谦病重，再三要将徐州让给刘备，刘备坚辞不受。糜竺、陈登、孔融相继劝进，刘备仍不肯。陶谦泣求，关羽劝说刘备暂且权领州事，以安人心。
S027,第十一回,操闻报大惊曰：“兖州有失，使吾无家可归矣，不可不亟图之！”郭嘉曰：“主公正好卖个人情与刘备，退军去复兖州。”操然之，即时答书与刘备，拔寨退兵。……却说曹操回军，曹仁接着，言吕布势大，更有陈宫为辅，兖州、濮阳已失，其鄄城、东阿、范县三处，赖荀彧、程昱二人设计相连，死守城郭。,荀彧,程昱、曹仁,权力控制,设计死守,荀彧程昱守兖州三城,鄄城、东阿、范县、设计死守,吕布袭破兖州，曹操后方危急，仅鄄城、东阿、范县三处因荀彧和程昱设计死守得以保全。
S028,第十二回,操在鄄城，知陶谦已死，刘玄德领徐州牧，大怒曰：“我仇未报，汝不费半箭之功，坐得徐州！吾必先杀刘备，后戮谦尸，以雪先君之怨！”即传号令，克日起兵去打徐州。荀彧入谏曰：“昔高祖保关中，光武据河内，皆深根固本以制天下，进足以胜敌，退足以坚守，故虽有困，终济大业。明公本首事兖州，且河、济乃天下之要地，是亦昔之关中、河内也。今若取徐州，多留兵则不足用，少留兵则吕布乘虚寇之，是无兖州也。若徐州不得，明公安所归乎？今陶谦虽死，已有刘备守之。徐州之民，既已服备，必助备死战。明公弃兖州而取徐州，是弃大而就小，去本而求末，以安而易危也。愿熟思之。”,荀彧,曹操,权力控制,深根固本,荀彧谏曹操勿攻徐州,深根固本、兖州根本、弃大就小,曹操因刘备坐领徐州而大怒，欲起兵攻打徐州。荀彧以“深根固本”为喻，劝曹操不要舍弃兖州根基而攻徐州，否则可能失去兖州且徐州难克，建议慎重考虑。
S029,第十二回,操曰：“今岁荒乏粮，军士坐守于此，终非良策。”彧曰：“不如东略陈地，使军就食汝南、颍川。黄巾余党何仪、黄劭等，劫掠州郡，多有金帛、粮食、此等贼徒，又容易破；破而取其粮，以养三军，朝廷喜，百姓悦，乃顺天之事也。”,荀彧,曹操,权力控制,就食破贼,荀彧建议东略陈地取粮,东略陈地、就食、破黄巾、取粮,曹操因军中缺粮而犹豫，荀彧建议向东攻打陈地、汝南、颍川一带，击败黄巾余党夺取粮食以养三军，既解决粮草问题，又能顺天应人。
S030,第十三回,且说袁绍在冀州，闻知曹操与吕布相持，谋士审配进曰：“吕布，豺虎也：若得兖州，必图冀州。不若助操攻之，方可无患。”绍遂遣颜良将兵五万，往助曹操。,袁绍,审配、颜良、曹操、吕布,联盟外交,唇亡齿寒,袁绍助曹操攻吕布,审配、助操攻吕、唇亡齿寒,袁绍在冀州得知曹操与吕布相持，谋士审配认为吕布若得兖州必威胁冀州，建议助曹操攻吕布以除后患。袁绍采纳，派颜良率五万兵助操。
S031,第十三回,李傕大怒，拔剑叱曰：“天子使汝来辱我乎？我先斩汝头！”骑都尉杨奉谏曰：“今郭汜未除，而杀天使，则汜兴兵有名，诸侯皆助之矣。”贾诩亦力劝，傕怒少息。,贾诩,李傕、杨奉、皇甫郦,权力控制,劝阻,贾诩劝李傕勿杀天使,力劝、杀天使、诸侯助汜,李傕欲杀天使皇甫郦，杨奉和贾诩先后劝阻，贾诩力劝后李傕怒气稍减。此举避免了激化矛盾，为后续和解留有余地。
S032,第十三回,却说李傕之军，大半是西凉人氏，更赖羌兵为助。却被皇甫郦扬言于西凉人曰：“李傕谋反，从之者即为贼党，后患不浅。”西凉人多有听郦之言，军心渐涣。傕闻郦言，大怒，差虎贲王昌追之。昌知郦乃忠义之士，竟不往追，只回报曰：“郦已不知何往矣。”贾诩又密谕羌人曰：“天子知汝等忠义，久战劳苦，密诏使汝还郡，后当有重赏。”羌人正怨李傕不与爵赏，遂听诩言，都引兵去。,贾诩,李傕、羌人,联盟外交,离间瓦解,贾诩密谕羌人退兵,密谕羌人、忠义、密诏还郡、重赏,贾诩暗中对羌人宣称天子知道他们忠义，密诏让他们回郡并日后重赏。羌人因李傕不给爵赏而怨恨，听信贾诩之言，全部引兵离去，削弱了李傕的军力。
S033,第十三回,贾诩又密谕羌人曰：“天子知汝等忠义，久战劳苦，密诏使汝还郡，后当有重赏。”羌人正怨李傕不与爵赏，遂听诩言，都引兵去。诩又密奏帝曰：“李傕贪而无谋，今兵散心怯，可以重爵饵之。”帝乃降诏，封傕为大司马。傕喜曰：“此女巫降神祈祷之力也！”遂重赏女巫，却不赏军将。,贾诩,汉献帝、李傕,权力控制,重爵诱饵,贾诩献计封李傕大司马,密奏、重爵饵之、贪而无谋、兵散心怯,贾诩密奏献帝，说李傕贪婪无谋，兵散心怯，可以用高官厚禄引诱他。献帝降诏封李傕为大司马，李傕大喜，暂时稳定局势。
S034,第十四回,却说李傕、郭汜知操远来，议欲速战。贾诩谏曰：“不可。操兵精将勇，不如降之，求免本身之罪。”傕怒曰：“尔敢灭吾锐气！”拔剑欲斩诩。众将劝免。是夜，贾诩单马走回乡里去了。,贾诩,李傕、郭汜,权力控制,劝降,贾诩劝李傕降曹操,不可、降之、求免本身之罪,李傕、郭汜知曹操远来，议欲速战。贾诩劝谏说曹兵精将勇，不如投降以求免罪。李傕大怒欲斩贾诩，贾诩当晚单马逃离。
S035,第十四回,却说曹操在山东，闻知车驾已还洛阳，聚谋士商议，荀彧进曰：“昔晋文公纳周襄王，而诸侯服从；汉高祖为义帝发丧，而天下归心。今天子蒙尘，将军诚因此时首倡义兵，奉天子以从众望，不世之略也。若不早图，人将先我而为之矣。”曹操大喜。正要收拾起兵，忽报有天使赍诏宣召。操接诏，克日兴师。,荀彧,曹操,政治合法性,挟天子以令诸侯,荀彧劝曹操迎天子,奉天子、从众望、首倡义兵、不世之略,曹操闻天子还洛阳，荀彧进言建议曹操此时首倡义兵奉迎天子以从众望，否则别人会先做。曹操大喜，准备起兵。
S036,第十四回,操既定大事，乃设宴后堂，聚众谋士共议曰：“刘备屯兵徐州，自领州事；近吕布以兵败投之，备使居于小沛：若二人同心引兵来犯，乃心腹之患也。公等有何妙计可图之？”许褚曰：“愿借精兵五万，斩刘备、吕布之头，献于丞相。”荀彧曰：“将军勇则勇矣，不知用谋。今许都新定，未可造次用兵。彧有一计，名曰二虎竞食之计。今刘备虽领徐州，未得诏命。明公可奏请诏命实授备为徐州牧，因密与一书，教杀吕布。事成则备无猛士为辅，亦渐可图；事不成，则吕布必杀备矣：此乃二虎竞食之计也。”操从其言，即时奏请诏命，遣使赍往徐州，封刘备为征东将军宜城亭侯领徐州牧；并附密书一封。,荀彧,曹操、刘备、吕布,联盟外交,二虎竞食,荀彧献二虎竞食之计,二虎竞食、密书教杀吕布、实授徐州牧,曹操担心刘备与吕布联合，荀彧献计：奏请实授刘备徐州牧，同时密书教刘备杀吕布。若刘备杀吕布则失猛士，若不杀则吕布必杀刘备，使二人自相残害。曹操采纳。
S037,第十四回,使命回见曹操，言玄德不杀吕布之事。操问荀彧曰：“此计不成，奈何？”彧曰：“又有一计，名曰驱虎吞狼之计。可暗令人往袁术处通问，报说刘备上密表，要略南郡。术闻之，必怒而攻备；公乃明诏刘备讨袁术。两边相并，吕布必生异心：此驱虎吞狼之计也。”操大喜，先发人往袁术处；次假天子诏，发人往徐州。,荀彧,曹操、袁术、刘备、吕布,联盟外交,驱虎吞狼,荀彧献驱虎吞狼之计,驱虎吞狼、暗告袁术、明诏刘备、两边相并,二虎竞食之计未成，荀彧再献驱虎吞狼之计：暗告袁术说刘备要夺南郡，使袁术攻刘备；明诏刘备讨袁术，两军相并，吕布必生异心。曹操采纳。
S038,第十五回,策见瑜大喜，诉以衷情。瑜曰：“某愿施犬马之力，共图大事。”策喜曰：“吾得公瑾，大事谐矣！”便令与朱治、吕范等相见。瑜谓策曰：“吾兄欲济大事，亦知江东有二张乎？”策曰：“何为二张？”瑜曰：“一人乃彭城张昭，字子布；一人乃广陵张纮，字子纲。二人皆有经天纬地之才，因避乱隐居于此。吾兄何不聘之？”策喜，即便令人赍礼往聘，俱辞不至。策乃亲到其家，与语大悦，力聘之，二人许允。策遂拜张昭为长史，兼抚军中郎将；张纮为参谋正议校尉。,周瑜,孙策、张昭、张纮,人才任用,举荐贤才,周瑜向孙策推荐二张,二张、经天纬地之才、聘之,孙策与周瑜相遇后共图大业，周瑜向孙策推荐江东两位贤士张昭和张纮，称其有经天纬地之才。孙策派人聘请，二人最初不应，孙策亲自登门后二人同意出仕，孙策分别授予要职。
S039,第十五回,却说太史慈招得精壮二千余人，并所部兵，正要来与刘繇报仇。孙策与周瑜商议活捉太史慈之计。瑜令三面攻县，只留东门放走；离城二十五里，三路各伏一军，太史慈到那里，人困马乏，必然被擒。原来太史慈所招军大半是山野之民，不谙纪律。泾县城头，苦不甚高。当夜孙策命陈武短衣持刀，首先爬上城放火。太史慈见城上火起，上马投东门走，背后孙策引军赶来。太史慈正走，后军赶至三十里，却不赶了。太史慈走了五十里，人困马乏，芦苇之中，喊声忽起。慈急待走，两下里绊马索齐来，将马绊翻了，生擒太史慈，解投大寨。,周瑜,孙策、太史慈,权力控制,围三缺一、设伏,周瑜献计擒太史慈,三面攻县、留东门、设伏、人困马乏,孙策与周瑜商议活捉太史慈，周瑜献计：三面攻城只留东门，并在离城二十五里处设三路伏兵，待太史慈逃到那里人困马乏时擒之。孙策依计行事，太史慈果然中计被生擒。
